id,Name,Region,TotalExport,TotalImport,Total
SVK,Slovakia,Europe,0.0,2410220.1,2410220.1
SWE,Sweden,Europe,3966548.5,13236547.3,17203095.9
THA,Thailand,Southeast Asia,25168701.3,40245345.9,65414047.2
TKM,Turkmenistan,Central and Northern Asia,5480969.4,0.0,5480969.4
TTO,Trinidad and Tobago,Caribbean and Central America,1261864.9,0.0,1261864.9
TUR,Turkey,Europe,15003505.4,21763816.6,36767322.0
UKR,Ukraine,Central and Northern Asia,7377182.3,3538621.7,10915804.0
URY,Uruguay,South America,1175262.9,0.0,1175262.9
USA,United States,North America,235259258.4,320653358.9,555912617.3
UZB,Uzbekistan,Central and Northern Asia,2861265.2,0.0,2861265.2
VEN,Venezuela,South America,25212538.0,1682963.1,26895501.1
VNM,Vietnam,Southeast Asia,11064402.7,36859844.7,47924247.4
ZAF,South Africa,Sub-Saharan Africa,28621198.3,6940769.8,35561968.1
ZMB,Zambia,Sub-Saharan Africa,2025854.9,0.0,2025854.9
ZWE,Zimbabwe,Sub-Saharan Africa,0.0,1104509.8,1104509.8
